length,src_port,dst_port,flags,src_ip,dst_ip,protocol,Label
948,443.0,50626.0,3,0,0,0,1
948,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
980,443.0,50626.0,3,0,0,0,1
980,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
980,443.0,50626.0,3,0,0,0,1
980,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
980,443.0,50626.0,3,0,0,0,1
980,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
980,443.0,50626.0,3,0,0,0,1
1012,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1012,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1012,443.0,50626.0,3,0,0,0,1
1012,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1012,443.0,50626.0,3,0,0,0,1
1012,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1012,443.0,50626.0,3,0,0,0,1
1012,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1044,443.0,50626.0,3,0,0,0,1
1044,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1044,443.0,50626.0,3,0,0,0,1
1044,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
42,0.0,0.0,0,0,0,0,1
42,0.0,0.0,0,0,0,0,1
1044,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1044,443.0,50626.0,3,0,0,0,1
1044,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1044,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1044,443.0,50626.0,3,0,0,0,1
1033,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1076,443.0,50626.0,3,0,0,0,1
1076,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1076,443.0,50626.0,3,0,0,0,1
1076,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1076,443.0,50626.0,3,0,0,0,1
1076,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1076,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1076,443.0,50626.0,3,0,0,0,1
1076,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1108,443.0,50626.0,3,0,0,0,1
1108,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1108,443.0,50626.0,3,0,0,0,1
1108,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1108,443.0,50626.0,3,0,0,0,1
1108,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1108,443.0,50626.0,3,0,0,0,1
1140,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
109,50626.0,443.0,3,0,0,0,1
1140,443.0,50626.0,3,0,0,0,1
74,443.0,50626.0,1,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
875,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1140,443.0,50626.0,3,0,0,0,1
1172,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1172,443.0,50626.0,3,0,0,0,1
1172,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1172,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1172,443.0,50626.0,3,0,0,0,1
1172,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1172,443.0,50626.0,3,0,0,0,1
159,50630.0,443.0,3,0,0,0,1
1374,50630.0,443.0,1,0,0,0,1
1374,50630.0,443.0,1,0,0,0,1
1374,50630.0,443.0,1,0,0,0,1
523,50630.0,443.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
74,443.0,50630.0,1,0,0,0,1
74,443.0,50630.0,1,0,0,0,1
1204,443.0,50626.0,3,0,0,0,1
109,50626.0,443.0,3,0,0,0,1
121,443.0,50630.0,3,0,0,0,1
596,443.0,50630.0,3,0,0,0,1
105,443.0,50630.0,3,0,0,0,1
86,50630.0,443.0,1,0,0,0,1
74,50630.0,443.0,1,0,0,0,1
109,50630.0,443.0,3,0,0,0,1
74,443.0,50626.0,1,0,0,0,1
74,443.0,50630.0,1,0,0,0,1
1204,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1204,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1204,443.0,50626.0,3,0,0,0,1
1204,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1204,443.0,50626.0,3,0,0,0,1
1204,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1236,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1236,443.0,50626.0,3,0,0,0,1
1236,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1236,443.0,50626.0,3,0,0,0,1
1268,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1268,443.0,50626.0,3,0,0,0,1
1268,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1268,443.0,50626.0,3,0,0,0,1
1268,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1268,443.0,50626.0,3,0,0,0,1
1268,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1268,443.0,50626.0,3,0,0,0,1
1300,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1300,443.0,50626.0,3,0,0,0,1
1300,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1300,443.0,50626.0,3,0,0,0,1
1300,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1300,443.0,50626.0,3,0,0,0,1
1300,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1300,443.0,50626.0,3,0,0,0,1
1289,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1332,443.0,50626.0,3,0,0,0,1
1332,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1332,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1332,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1321,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1364,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1364,443.0,50626.0,3,0,0,0,1
1364,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1364,443.0,50626.0,3,0,0,0,1
1364,443.0,50626.0,3,0,0,0,1
